Week,Mean,SD
1,0.7145,0.1265
2,0.4644,0.0982
3,0.5013,0.0807
4,0.4418,0.1008
5,0.4167,0.1160
6,0.7968,0.2023
7,0.7225,0.2344
8,0.4814,0.1748
9,3.0136,1.9401
10,0.6317,0.1382
11,0.59,0.1352
12,0.9992,0.3391
13,1.806,0.7546
14,1.7017,0.3196
15,2.5302,1.1105
16,1.1824,0.2916
17,0.818,0.1229
18,1.0161,0.2493
19,1.0803,0.2638
20,1.6241,0.4269
21,1.3407,0.3537
22,0.5828,0.0867
23,0.7535,0.2260
24,0.6409,0.0640
25,0.3868,0.0827
26,0.4357,0.1163
27,0.5615,0.1790
28,0.4018,0.1013
29,0.7146,0.1795
30,0.9735,0.3905
31,0.7226,0.2334
32,0.7046,0.1178
33,0.632,0.1072
34,0.6565,0.1677
35,1.4529,0.3046
36,1.8874,0.4908
37,2.1664,0.8660
38,2.4396,0.5657
39,2.8366,0.9503
40,0.9288,0.2630
41,0.9599,0.1685
42,0.8919,0.1941
43,0.6512,0.1353
44,1.0093,0.2959
45,1.2866,0.3655
46,0.9165,0.1175
47,1.3673,0.4270
48,0.602,0.1659
49,0.6407,0.1581
50,0.8533,0.2854
51,0.3202,0.0720
52,0.443,0.1056
53,0.3339,0.1810
54,0.3956,0.1114
55,0.3293,0.0728
56,0.4575,0.1703
57,0.4545,0.1416
58,0.6644,0.1909
59,0.5106,0.0974
60,0.9453,0.2641
61,0.7696,0.2038
62,1.089,0.3074
63,1.7535,0.6317
64,1.6717,0.3844
65,1.4613,0.3419
66,1.0174,0.1771
67,0.6783,0.0887
68,0.5944,0.1274
69,0.8917,0.2165
70,1.2836,0.5112
71,1.2085,0.6074
72,1.0549,0.3338
73,0.9038,0.2307
74,0.5205,0.1470
75,0.961,0.2419
76,0.6741,0.1607
77,0.7636,0.2158
78,0.5301,0.1568
79,0.5539,0.0987
80,0.5074,0.1521
81,0.4309,0.0758
82,0.6882,0.1408
83,0.3988,0.0902
84,0.4036,0.1128
85,0.8731,0.1727
86,0.9681,0.2742
87,1.239,0.3153
88,1.4043,0.3472
89,0.722,0.2159
90,0.597,0.1063
91,0.8862,0.0881
92,0.7258,0.2396
93,1.0635,0.1861
94,0.9171,0.2286
95,0.5161,0.1121
96,1.319,0.2500
97,1.8044,0.3890
98,0.5864,0.1521
99,0.4629,0.1070
100,0.1871,0.0281
101,0.4703,0.1295
102,0.7558,0.2006
103,1.0602,0.1526
104,0.4494,0.0928
105,0.8289,0.1244
106,0.6413,0.2152
107,1.1189,0.6631
108,7.5553,1.1179
109,1.5753,0.3263
110,1.6834,0.5087
111,0.7651,0.3091
112,1.3924,0.2058
113,0.8756,0.1514
114,1.0731,0.1690
115,0.923,0.2838
116,0.9666,0.1986
117,3.2128,0.8111
118,1.925,0.4801
119,0.8099,0.1256
120,0.3198,0.0879
121,0.7568,0.1598
122,0.3899,0.0831
123,0.9371,0.2244
124,0.5807,0.1473
125,0.6875,0.1996
126,0.8316,0.2513
127,0.3999,0.0385
128,1.1737,0.2546
129,0.703,0.2040
130,1.2689,0.1973
131,1.1451,0.3251
132,1.5563,0.4435
133,2.0738,0.5509
134,1.8752,0.5881
135,0.5312,0.2285
136,0.6823,0.2503
137,1.0296,0.1486
138,1.1862,0.2553
139,1.1374,0.1956
140,0.4827,0.0715
141,0.5379,0.1568
142,0.768,0.1285
143,1.1218,0.1526
144,0.7551,0.1789
145,0.7219,0.0937
146,0.5286,0.1381
147,0.6889,0.1818
148,0.7419,0.1663
149,0.4981,0.1018
150,0.3723,0.0824
151,0.8398,0.1100
152,0.575,0.1454
153,1.2488,0.2845
154,0.7629,0.1178
155,1.3064,0.2908
156,1.5545,0.2101
157,1.9807,0.5603
158,2.4686,0.3563
159,2.4341,0.4637
160,1.6222,0.3419
161,1.9934,0.6663
162,1.5563,0.3960
163,1.1474,0.2395
164,2.0507,0.4011
165,8.4199,1.4149
166,2.8607,0.3838
167,0.5801,0.2639
168,0.5438,0.2377
169,0.248,0.1271
170,0.5031,0.3041
171,0.441,0.1868
172,0.2849,0.0869
173,0.6368,0.1086
174,0.2709,0.0597
175,0.4789,0.1019
176,0.3987,0.0497
177,0.6042,0.1066
178,0.8476,0.2126
179,0.7696,0.1542
180,0.6945,0.1715
181,0.438,0.1099
182,0.6182,0.0944
183,0.5432,0.1249
184,0.5639,0.1329
185,0.5071,0.0931
186,0.3137,0.0717
187,0.5728,0.0998
188,0.549,0.1594
189,0.5268,0.1460
190,0.4652,0.1194
191,0.4069,0.0963
192,0.3804,0.0871
193,0.4615,0.1628
194,0.285,0.0668
195,0.6177,0.2527
196,0.3071,0.0768
197,0.8828,0.6851
198,0.5769,0.1716
199,0.5695,0.1474
200,0.4297,0.0622
201,0.6549,0.1680
202,0.8407,0.2371
203,1.0623,0.2382
204,1.0689,0.3716
205,0.653,0.1204
206,0.837,0.1388
207,1.1383,0.2132
208,0.8377,0.1528
209,0.6464,0.1621
210,0.5158,0.0633
211,0.6758,0.2638
212,0.776,0.1830
213,0.4509,0.0720
214,0.505,0.1062
215,0.4973,0.1111
216,0.4005,0.1579
217,0.2555,0.0909
218,0.4063,0.1619
219,1.2252,0.6577
220,1.1073,0.6384
221,0.3138,0.0896
222,0.5288,0.1584
223,0.1918,0.1061
224,0.4353,0.1428
225,0.4287,0.0896
226,0.3254,0.0913
